song_id,title,artist,tag,year,lyrics
0,Number 1,Manuela Tome,pop,2020,"[Verse 1: Manuela Tome]:
You’re my number 1 say you’ll always comes first
No need to compete for the spot, you know it’s all yours
They already know, no need to ask around
Left your mark on you boy, no one can erase it now

[Pre-Chorus: Manuela Tome]:
Leave it out, this one’s not up to you
Yeah yeah it’s up to me
Wanna put you on the top of my
List of priorities, priorities
Top top number 1 you’ll always be yeah
Number 1

[Verse 2: Manuela Tome]:
Number 1 you’ll always be
Don’t doubt your position
You’ll always mean the most to me
Can’t trade or exchange our love
Bond exclusive to us, yeah
Know we move different
Mhmm yeah
[Chorus]:
You’re my N-U-M-B-E-R
Say you’re my number 1
Had me at “I love you”
Baby sing it back to you
You’re my N-U-M-B-E-R
Say you’re my number 1
Had me at “I love you”
Baby sing it back to you

[Pre-Chorus: Manuela Tome]:
Leave it out, this one’s not up to you
Yeah yeah it’s up to me
Wanna put you on the top of my
List of priorities, priorities
Top top number 1 you’ll always be yeah
Number 1

[Bridge]:
If I am your number 1
I will take your hand
We’ll be running to the sun
I’m sure that we can make most of our time
Just us two babe
No one can stop us now
If you were just here by my side to show me how
[Chorus]:
You’re my N-U-M-B-E-R
Say you’re my number 1
Had me at “I love you”
Baby sing it back to you
You’re my N-U-M-B-E-R
Say you’re my number 1
Had me at “I love you”
Baby sing it back to you

[Chorus]:
You’re my N-U-M-B-E-R
Say you’re my number 1
Had me at “I love you”
Baby sing it back to you
You’re my N-U-M-B-E-R
Say you’re my number 1
Had me at “I love you”
Baby"
1,Running It,Diafrix,rap,2012,"[Hook]
You're never on time unless you slow it down
Never find out unless you go down
Get up again, you're running it
Get up again, oh

Another long weekend approaching and I wanna let my hair down
They say the best things in life are free, and right now I have to agree
I'm feeling super like Superman, so pass my the kryptonite
If it puts me on my ass I ain't going out without a fight
Life is tasting good, so I'm reaching for the highest heights
Get me through the storm, blue skies, I'mma fly my kite
All I need is fam, 'cause they're the first to understand
They're the first to lend a hand, no, they never doubt me, man
Even when I'm hustlin', bustlin', tusslin'
Slowly counting my chips and profiting margin
And they're always around to slow it down

[Hook x2]

I'm still in my bed
I wonder if I should go out and surrender instead
I got some ? stuck to my head
And it's really fucking boring, need to call up a friend
L-L-L-Look here, I'm running the better budget
Last weekend was a big week and now I'm left with empty buckets and
Eyy, I wanna do it all again
Get ? in my head and have a good time with my friends and
Eyy, what possibly could stop me?
They say the best things come for free, let me see where this will take me
Go play, with the dinosaurs and monsters
Mingle with the devil 'cause I'm looking for a sponsor

[Hook x2]

I'm running it
I hold it down
It's gotta be now or never
You're running it
You slow it down
It's gotta be now or never

[Hook x2]"
2,With You,Pluto Kay-G & Pluto Spyda,rap,2012,"[Verse 1: Pluto Kay-G]
I hate it when you never text me back
My heart stops for a moment like a heart attack
Love it when you call me baby
But school is keeping you busy so I haven't heard that lately
Working on your degree and I understand
Falling in love with me was never a part of your plan
Mistakes are made
And maybe I may not change
But I'm just living in the moment hope my past start to fade
How come we never love the same
The heart is filled with pain
And feelings I can't contain
Its driving me insane
Everytime I hear you name
And I'm shooting for your heart but I don't have the proper aim
But things are not the same
I'm chasing after fame
And I'm faded off this weed and right now I can't complain
I smoke to block out thoughts and partly you are to blame
I don't fucken feel a thing
My heart is pumping Novacane
I tried to keep you tamed
But you were playing games
And I felt so insecure cause you were messing with them lames
Cause when we had to meet you would postpone and never came
I was a slave to your love like a Cupid kept on chains
I hate it when things change
To me its such a shame
That you used to say you love me till you started acting strange
In this book that we call love you just wrote the last page
When I say I love you I don't say that shit in vain
[Hook]
I've been thinking about you
Tell me what we gone do
I'm tryna hear it from you
Just a night in the blue
Spend a night in my room
Will be just me and you
I'm just telling the truth
I can't live without you
And I promise though yeah

[Verse 2: Pluto Spyda]
I'm searching for this girl I got a map
I even dream about her when I take power naps
Think I'm too young to say whats been bugging me
Look at her soft lips but she's only hugging me
We ain't friends we ain't lovers but we something
Sweetest girl I've met you my pumpkin
You know your beauty can't be defined
That's why they say its in the beholders eye
In love I swear you taught me how to fly
When I was with you I felt like I was in the sky
But now you not mine, hey why should I cry
Let's rather celebrate the breath taking times
We both know they'll never be a next time
Heard you took it hard, I hope you doing fine
Special as you may be you deserve a better guy
Honey you deserve a better life one love
[Hook]"
3,Before I Lose,The Second After,rock,2018,"At our distance
Our minds intertwine
Through all of this mess
And there's a way
Oh, there's a way to listen
Instead of finding every route around
The solution that I've found

So when your walls begin to break
Am I the catalyst?
Come out unscathed
Trying to make the best
For both of us

Will you be mine
If I let you go?
The second that you turn to leave
I finally start to see
It wasn't our time
Thanks for saying so
I hold my breath and count my [?]
And wait here patiently
I should have known better
Yeah I should have known better to [?]
It's just my luck that's down
The day that I met her
The day that I fell
Never hit the ground
And I'm sleeping at the wheel again
Next time I'll think before I lose, before I lose a friend
Looking for a connection
Between the silence and my own [?]
Lack of words to say [?]
When the timers ticking
You're minds drifting out [?]
Questioning into states of reflection
What could you do
If I asked you

I always say I'll never say I'm coming home
Well that's fine 'cause I will always hold it against you
I always say I'll never say I'm coming home
Between the lines we find, but number two is true
I always say I'll never say I'll come back home
Well that's fine 'cause I will always hold it against you
I always say I'll never say I'm coming home

Will you be mine
If I let you go?
The second that you turn to leave
I finally start to see
It wasn't our time
Thanks for saying so
I hold my breath and count my [?]
And wait here patiently
I should have known better
Yeah I should have known better to [?]
It's just my luck that's down
The day that I met her
The day that I fell
Never hit the ground
And I'm sleeping at the wheel again
Next time I'll think before I lose, before I lose a friend"
4,RING RING,LocateEmilio & 27CLUB,rap,2021,"[Intro]
(808 Mafia!)
Steezy808

[Chorus]
Hear my phone, ring, ring
Tell me what you tryna talk 'bout
Brodie in the backseat, don't make me let him pop out
I was at the bottom, it feels better at the top now
Hate you when you're down but they love you when you hot now

[Verse 1: 27CLUB]
All this ice on me, I drip
Please don't try to test the kid
I been grindin' since a jit
Knew that I was meant for this
I can't play with all you bitches, I ain't fallin' for no trick
Told myself to go and get it, need eight ounces on my wrist (On my wrist)
Bitch, it's fuck you, pay me
I like crack back in the 80s, I need me a new Mercedes
All these bitches talkin' shit but motherfuckers' broke and lazy
All these women on my line, but no, you cannot be my baby
[Chorus]
Hear my phone, ring, ring
Tell me what you tryna talk 'bout
Brodie in the backseat, don't make me let him pop out
I was at the bottom, it feels better at the top now
Hate you when you're down but they love you when you hot now
Hear my phone, ring, ring
Tell me what you tryna talk 'bout
Brodie in the backseat, don't make me let him pop out
I was at the bottom, it feels better at the top now
Hate you when you're down but they love you when you hot now

[Verse 2: LocateEmilio]
My phone buzz, I do not look (Don't look)
Way too busy tryna make my money flip
They want a page right out of my book (My book)
I don't even think that they could read this shit
No bitch want attention, all I got is dick for her
Naked when she text me, Dior layin' on her floor
No scalp, but my prospects Pucci
Don't call my phone, by default, you get, ""Who this?""
I'ma la-la with my hoes, I ain't into makin' new friends
My circle got to be tight, ain't got no time for tying loose ends

[Chorus]
Hear my phone, ring, ring
Tell me what you tryna talk 'bout
Brodie in the backseat, don't make me let him pop out
I was at the bottom, it feels better at the top now
Hate you when you're down but they love you when you hot now
Hear my phone, ring, ring
Tell me what you tryna talk 'bout
Brodie in the backseat, don't make me let him pop out
I was at the bottom, it feels better at the top now
Hate you when you're down but they love you when you hot now"
6,Bandages,Austin Joyce,rap,2020,"[Verse 1]
Reminiscing
On the ways that we used to be living
Bad decisions
In the moment didn't know that I was slipping (Huh)

Growing up in the dark
But my closest told me I had to fend for my heart
The world try to tear us apart
Young kids don't know the damage of their thoughtless remarks

So, I cry again
Choking up, hopeless feelings, wanna die again
Asking questions like ""umm, who am I again?""
Is everything true? Am I exactly what they said I am? Nahhhh

Man, that couldn't be right
Because I thought I was just a regular guy
They jealous of my grades or hazel shades inside of my eyes
Or was I rеally weird, different, and a bit ovеrsize? I don't know...
It's possibly true
But how else you supposed to think when they constantly tell you
In all honesty, you ain't no regular dude
Come to school, off-brand shoes, got a bob for a doo

Look..

I'm still a kid inside
And so I
Enjoy the ride
And yes
I like surprise
Because
My youth will never die

And through the tarnish and the garbage
The hardships never brought me down
They never brought me down
They never brought me down
(no)

[Verse 2]
But now, they finally like me
So what am I supposed to do when the serpent bites me
Resist the temptation, but man, that's quite unlikely
Overwriting
The values that I once held inside me
Held highly
The values that I clung to so tightly

My gosh, he works in such menacing ways
And I did not know what it looked like to be rightfully saved
Misbehaved
Every single change that I got to
Unwisely
Can't believe the devil took me so lightly (yeah)

A slow fade goes does in a spiral
But all the kids care about nowadays is going viral
As long as reputation enhances
They don't mind showing off their body and doing dances
It's cancerous

Society constantly damages
The minds of young teens using them for advantages
They'll probably have a couple of wounds
That we try to heal temporarily with some bandages

A small fix for a permanent scar
Lacerations that just constantly tear at the heart
I don't care if I chart
I'm just honest with who I am, put myself in this art
Look...

I've been there before
I've been in a place where I've been sitting yearning for more
I know it's not easy to see
But if you let God take the veil off He will finally restore

You

To a better life
I said it right
Don't make me say it twice
Like I forgot my lines

He won't forget
Our hefty debt
We've yet to pay
So we can stay

In the world we lay
His Son paid the price
So we can live again
You understand?

So, back to the subject at hand
I know you're probably thinking Austin throws out hefty demands
Man, his whole life there were always people saying he can't
I think he's starting to come to realize that he actually can

Full circle
I gave you guys a glimpse of my life
New hurdles
Shiny things just try to entice

True journals
I jot down all the feats of my life
Bleed purple
Yeah your boy still wearing his stripes

Can't deny where I'm from
But it's super cool to see just how far I don come
From sitting on the couch, like a bum
To writing rhymes that hit your ears smoother than birds with a hum

A hum that turned into a buzz
That exposed the truth the dude's had inside of his lungs
This man's story has just now begun
They want an ocean of emotion? Hope you're ready for the plunge"
7,Im Addicted,DJ Cayne,rap,2014,"[DJ Cayne talking]

[Stan-verse]

Walking round head down cause I’m strung out
I don’t know when I’ll stop it’s my biggest doubt
Ritualistically her ////// will need it everyday
Any means necessary in the worst way
Twelve steps never worked I don’t wanna be saved
So just give me my fix and have a nice day
I don’t need help but thanks for asking
I’m addicted like fat women on an Atkins

[hook]
I think I’m addicted

[DJ Cayne and Sol-Chorus]
I can’t let go, no I can’t let go cause I’m just in love with the feeling, I’m so addicted

[DJ Cayne-verse]
I’m just young and dumb and ignorant she gave me just a little bit
And I took that out of proportion now I’m distorted going crazy like(uh)
She had me looking like oh my God. And I would protect her I would kill them all
Then I had to realize I was only wasting time
She was just so fine that I couldn’t deny I’m sprung and totally out my mind
But I gotta focus on my mission and stop chasing these women
Can’t never catch me slipping over a small addiction
[hook]
I think I’m addicted

[DJ Cayne and Sol-Chorus]
I can’t let go, no I can’t let go cause I’m just in love with the feeling, I’m so addicted"
8,The Knock Is There,Young Gunz,pop,2005,"[Intro]
Uh, Chad Wes

[Chorus]
The knock is there, the Roc in here
Got a few stacks in my Rocawear
S. Dot's is there, the Glock is there
Red dot is there, there's shots to spare
Hope the doctor's near, I shall fear no man but God
Ready to die, bring the cops in here
All you lil' youngns yeah we got this here
Chad Wes bring it back I think I got this here

[Verse 1: Young Chris]
Whose the flyest from the home of the Flyers
They say them they liars, one hit wonders man they shitty as Kaya
Yeah Gunnaz got the city on fire, and that sticky is fire
Already twisted, Skeezy give me a lighter
Watch the flame as we rise til my nigga retire
Yeah I do it for the kids that admire
Yeah the kid is a fighter, cribs full of pipes
Niggas gettin all nighters, smokers fix your car for a nickel
Ain't no different from Midas
I don't [?] if I do you see a inch in that tire
Knife butter pecan in the back
Heat layin' on my lap, these motherfuckers keep playin' with the rap
I needed the fee, ain't a better example than that
Better learn how to handle your stacks or you be cramped with a bad gamble of stacks tryna scramble it back
Ain't no goddamn fam in this trap, they all shiest
Ya'll just handle the promotion, yo we handle the rap
[Chorus]
The knock is there, the Roc in here
Got a few stacks in my Rocawear
S. Dot's is there, the Glock is there
Red dot is there, there's shots to spare
Hope the doctor's near, I shall fear no man but God
Ready to die, bring the cops in here
All you lil' youngns yeah we got this here
Chad Wes bring it back I think I got this here

[Verse 2: Neef Buck]
Yo the knock is there, the Roc in here
Got my whole fuckin block in here, ya'll from the bird talk
Fuck what you heard ain't no stoppin here
C & Neef back they act like they forgot in here
We from P-H-I, reppin keep the steppin keep a weapon
Nigga shit heat seekin deep in ya flesh and
Ain't no restin when we warn, all times of the morning
On sight and we on em, do it right he's a goner
Niggas hustle on another level, another crib while they hustle for another bezzle, better buy another medal
We from the gutter where its cold, ain't no butter niggas snatchin up your mother, right hand man undercover
Tough Luv overdid it but it didn't now we back with that crack
Big homie got our back, its a wrap, they do whatever for the fame
Fuckin up the game, Brothers From Another here we go motherfuckers!

[Chorus]
The knock is there, the Roc in here
Got a few stacks in my Rocawear
S. Dot's is there, the Glock is there
Red dot is there, there's shots to spare
Hope the doctor's near, I shall fear no man but God
Ready to die, bring the cops in here
All you lil' youngns yeah we got this here
Chad Wes bring it back I think I got this here"
10,Landslide,Friday Mourning,rock,2006,"Here is your landslide
I've written it just for you
All the mountains you're traveling through
Hail the absence of everything good

But this is your landslide
All the stories you told in your head
The person you wanna forget
Are the forgetful so fortunate?
Yeah

But this is your landslide
The sounds of experience
A newfound experiment
Ignoring yourself

Here is your landslide
It time for some ownership
The landscape is torrents with
The hope you leave behind
[Chorus]
The faster you climb
The higher you fly
It's the distance you lose in yourself
The faster you heal
The higher you feel
Inside, inside

Ah, ah, Ah, ah
Ah, ah, Ah, ah

[Chorus]
The faster you climb
The higher you fly
It's the distance you lose in yourself
The faster you heal
The higher you feel
Inside, inside

[Chorus]
The faster you climb (Tonight is the night that you'll know, oh)
The higher you fly (This is your life, don't you wish, don't you look back)
It's the distance you lose in yourself. (Not until, one more year has passed)
The faster you heal (Tonight is the night that you'll know, oh)
The higher you feel (This is your life, don't you wish, don't you look back)
Inside, inside. (Not until, one more year has passed)
It's a landslide, outside
What a last rite, last try, inside
We can find God, fine ride, fine line
There's a fine line, rolled tight, walk high
Death defy life
Our time, is kind
It's a soft cry into the night
That creates light from heights, from on high
Father gave us who gave up, gave in
For the sake of a landslide, outside
Oh what a last rite, last try, inside
We can find God, fine ride, fine line
There's a fine line, rolled tight, walk high
Death defy life
Our time, from on high (Tonight is the night that you'll know, oh)
Father gave us who gave up, gave in, (This is your life)
For the sake of a landslide, outside (Don't you wish, don't you look back)
Oh what a last rite, inside (Not until)
We can find Christ"
11,One Day More of President Trump,The Late Late Show with James Corden,pop,2021,"James Corden [spoken]:
Good morning!

Valet [spoken]:
Hey, someone's happy! Let me guess: last day of Trump jokes?

James Corden [spoken]:
You got it! Last day of Trump jokes. Just one more day. One day more

Donald Trump [spoken]:
We had an election that was stolen from us. It was a landslide election and everyone knows it, especially the other side

James Corden:
One day more

Donald Trump [spoken, fades out]:
Wе love you, you're very spеcial...

James Corden:
Another day of Trump as President
The White House has a brand-new resident
It's been four years of endless crimes
But now he's finally out of time
One day more
Rob Engalla:
But what if he just doesn't leave?
How can I sleep 'til he's departed?

James Corden:
One day more

Rob Engalla and Rachel Yonda:
No one believes that he'll concede
And all the tapes were disregarded

Donald Trump [spoken]:
We won the election, and it's not fair to take it away from us

Amy Lee-Suits (Rob Engalla and Rachel Yonda):
One more day of Trump rallies
(Will we superspead again?)
One more day with him not caring
('Cause he never cared at all)
What a year this month has been
(We'll be in the parking lot)
At Four Seasons Landscaping

Rudy Giuliani [spoken]:
Wow! All the networks!
James Corden (Chris Weller):
No more days of angry Tweets
('Cause this time he's banned for good)
Ship him off to Mar-a-Lago
(Do they even want him there?)
Biden better change the sheets
(Maybe throw away the bed)
Will you change the locks with me?

Amy, Rachel, Rob, Chris:
His term is done
The day is here

James Corden:
One day more!

Trump Supporter:
One more day of rigged elections
This impeachment is a lie
We'll take selfies in the Senate
We will watch the generals cry

James Corden:
One day more!

Karen and Ken:
We won't wear a mask
That's our given right
At your Trader Joe's we'll start a viral fight
Don't you take our guns
We protect the peace
If you call us Karens we'll just call police
All:
One day to a new beginning
(Here's to Joe and Kamala)
Politics are dull again
(Politics are dull again)
Georgia Democrats are winning
(Hope for 2021)
Do you hear the people sing?

Ron:
Thank gosh we're here
There was no coup!

James Corden:
One day more!

Trump Supporter:
I will post theories on Parlr
I will follow where they go
I will search through Biden's emails
I will know the things they know

James Corden:
One day more!

Karen and Ken (Rachel and Roy):
We won't wear a mask (But what if he just doesn't leave?)
That's our given right (How can I sleep 'til he's departed?)
At your Trader Joe's (No one believes that he'll concede)
We'll start a viral fight (And all the tapes were disregarded)

James Corden:
It's soon Inauguration Day

Men:
Tomorrow is a judgment day

All:
Tomorrow we'll discover what our guy Joe Biden has in store
No more Trump
One more day
One day more!

Donald Trump [spoken]:
We will never back down, we will never ever surren-"
